,GrLivArea,BedroomAbvGr,SalePrice
1379,1394,3,167500
1380,864,2,58500
1381,2117,4,237500
1382,1762,4,157000
1383,1416,3,112000
1384,1258,2,105000
1385,1154,3,125500
1386,2784,5,250000
1387,2526,5,136000
1388,1746,3,377500
1389,1218,3,131000
1390,1525,3,235000
1391,1584,4,124000
1392,900,3,123000
1393,1912,3,163000
1394,1500,2,246578
1395,2482,4,281213
1396,1687,3,160000
1397,1513,4,137500
1398,1904,3,138000
1399,1608,3,137450
1400,1158,3,120000
1401,1593,3,193000
1402,1294,2,193879
1403,1464,3,282922
1404,1214,3,105000
1405,1646,2,275000
1406,768,2,133000
1407,833,3,112000
1408,1363,3,125500
1409,2093,3,215000
1410,1840,3,230000
1411,1668,3,140000
1412,1040,2,90000
1413,1844,2,257000
1414,1848,4,207000
1415,1569,1,175900
1416,2290,4,122500
1417,2450,3,340000
1418,1144,3,124000
1419,1844,3,223000
1420,1416,3,179900
1421,1069,2,127500
1422,848,1,136500
1423,2201,4,274970
1424,1344,2,144000
1425,1252,3,142000
1426,2127,3,271000
1427,1558,3,140000
1428,804,2,119000
1429,1440,3,182900
1430,1838,4,192140
1431,958,2,143750
1432,968,4,64500
1433,1792,3,186500
1434,1126,3,160000
1435,1537,3,174000
1436,864,3,120500
1437,1932,2,394617
1438,1236,2,149700
1439,1725,3,197000
1440,2555,3,191000
1441,848,1,149300
1442,2007,3,310000
1443,952,2,121000
1444,1422,3,179600
1445,913,3,129000
1446,1188,3,157900
1447,2090,3,240000
1448,1346,2,112000
1449,630,1,92000
1450,1792,4,136000
1451,1578,3,287090
1452,1072,2,145000
1453,1140,3,84500
1454,1221,2,185000
1455,1647,3,175000
1456,2073,3,210000
1457,2340,4,266500
1458,1078,2,142125
1459,1256,3,147500
